init_units,learning_rate,activation,batch_size,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,Score
128,0.01,relu,256,2,0,5,0,,6.496264457702637
128,0.01,relu,8,4,2,5,1,0030,6.579991817474365
64,0.0001,linear,256,2,0,5,0,,6.618592262268066
64,1e-05,relu,64,4,0,4,0,,6.63580322265625
128,0.01,linear,256,2,0,5,0,,6.641652584075928
64,1e-05,linear,32,2,0,5,0,,6.7947773933410645
8,0.1,relu,512,2,0,5,0,,6.816570281982422
8,0.1,linear,16,4,2,5,1,0057,6.84345817565918
128,0.01,linear,512,2,0,5,0,,6.871882438659668
64,0.0001,relu,256,2,0,5,0,,6.880095958709717
8,0.0001,linear,64,2,0,5,0,,6.983898639678955
128,1e-05,linear,64,2,0,5,0,,7.0485639572143555
8,1e-05,relu,8,2,0,5,0,,7.190273284912109
8,0.0001,relu,64,2,0,5,0,,7.366254806518555
32,0.1,linear,16,2,0,5,0,,7.380961894989014
64,1e-05,relu,32,2,0,5,0,,7.425411701202393
32,0.0001,linear,256,2,0,5,0,,7.504948139190674
16,0.1,relu,64,2,0,5,0,,7.509793758392334
16,0.0001,linear,128,2,0,5,0,,7.551591396331787
16,1e-05,relu,16,2,0,5,0,,7.558356285095215
128,0.0001,linear,512,2,0,5,0,,7.629321575164795
32,1e-05,linear,32,2,0,5,0,,7.66402530670166
128,0.0001,relu,512,2,0,5,0,,7.87542200088501
32,1e-05,relu,32,2,0,5,0,,7.943146228790283
8,1e-05,relu,16,2,0,5,0,,8.134767532348633
8,1e-05,linear,16,2,0,5,0,,8.277636528015137
8,1e-05,relu,32,2,0,5,0,,8.29150390625
64,0.0001,relu,512,2,0,5,0,,8.30482292175293
32,0.0001,relu,256,2,0,5,0,,8.315764427185059
16,0.0001,linear,256,2,0,5,0,,8.384072303771973
32,0.0001,relu,512,2,0,5,0,,8.412667274475098
128,1e-05,linear,128,2,0,5,0,,8.464009284973145
64,0.0001,linear,512,2,0,5,0,,8.467220306396484
8,0.0001,relu,256,2,0,5,0,,8.536375045776367
32,0.0001,linear,512,2,0,5,0,,8.586555480957031
16,1e-05,relu,32,2,0,5,0,,8.587791442871094
32,1e-05,relu,64,2,0,5,0,,8.737109184265137
16,0.0001,relu,256,2,0,5,0,,8.787307739257812
32,1e-05,linear,64,2,0,5,0,,8.796401977539062
32,1e-05,linear,128,4,0,4,0,,8.833949089050293
16,0.0001,linear,512,2,0,5,0,,8.875164031982422
128,1e-05,linear,256,2,0,5,0,,8.898242950439453
8,0.0001,linear,256,2,0,5,0,,9.003949165344238
64,1e-05,relu,256,2,0,5,0,,9.032337188720703
16,1e-05,linear,64,2,0,5,0,,9.096492767333984
128,1e-05,linear,512,2,0,5,0,,9.114768981933594
128,1e-05,relu,256,2,0,5,0,,9.204073905944824
16,0.0001,relu,512,2,0,5,0,,9.213711738586426
32,1e-05,relu,128,2,0,5,0,,9.250473976135254
16,0.1,relu,512,2,0,5,0,,9.286932945251465
128,1e-05,relu,512,2,0,5,0,,9.302488327026367
64,1e-05,relu,128,2,0,5,0,,9.311124801635742
16,1e-05,relu,64,2,0,5,0,,9.33261775970459
64,1e-05,linear,512,2,0,5,0,,9.406919479370117
16,0.1,linear,512,2,0,5,0,,9.92055606842041
32,0.1,relu,64,2,0,5,0,,10.009241104125977
8,0.0001,relu,512,2,0,5,0,,10.169368743896484
16,1e-05,linear,128,2,0,5,0,,10.220877647399902
32,0.1,linear,32,2,0,5,0,,10.4938325881958
32,1e-05,relu,256,2,0,5,0,,10.76781177520752
32,0.1,relu,32,2,0,5,0,,10.887542724609375
32,1e-05,linear,512,4,0,4,0,,11.028447151184082
32,0.1,linear,8,2,0,5,0,,11.5066556930542
8,0.0001,linear,512,2,0,5,0,,13.409894943237305
32,0.1,relu,16,2,0,5,0,,13.429471969604492
128,0.01,relu,512,2,0,5,0,,15.80427074432373
16,1e-05,relu,128,2,0,5,0,,18.376455307006836
32,1e-05,linear,256,2,0,5,0,,19.95638656616211
8,1e-05,relu,64,2,0,5,0,,21.77791404724121
32,0.1,linear,128,2,0,5,0,,22.98228645324707
64,0.1,linear,8,2,0,5,0,,24.98399543762207
32,0.1,linear,64,2,0,5,0,,34.50702667236328
32,0.1,relu,512,2,0,5,0,,41.4537239074707
64,0.1,linear,64,2,0,5,0,,49.875938415527344
16,1e-05,relu,512,4,0,4,0,,53.870487213134766
64,0.01,linear,8,4,2,5,1,0107,61.4349250793457
16,1e-05,linear,256,2,0,5,0,,65.23794555664062
8,1e-05,relu,128,2,0,5,0,,68.38084411621094
64,0.1,relu,8,2,0,5,0,,69.71244812011719
8,1e-05,linear,64,2,0,5,0,,79.17146301269531
32,0.1,relu,128,2,0,5,0,,86.69398498535156
16,1e-05,relu,256,2,0,5,0,,93.40911102294922
32,0.1,relu,256,2,0,5,0,,104.11583709716797
8,1e-05,linear,128,2,0,5,0,,132.43121337890625
8,1e-05,relu,512,4,0,4,0,,158.24569702148438
8,0.1,relu,8,4,2,5,1,0127,174.3195037841797
32,1e-05,relu,512,2,0,5,0,,175.29957580566406
8,1e-05,relu,256,2,0,5,0,,214.07980346679688
8,1e-05,linear,256,2,0,5,0,,218.22755432128906
64,0.1,linear,16,2,0,5,0,,220.6484375
16,1e-05,linear,512,2,0,5,0,,239.81484985351562
32,0.1,linear,256,2,0,5,0,,310.3960266113281
128,0.1,relu,8,2,0,5,0,,696.1508178710938
64,0.1,relu,32,2,0,5,0,,1097.527587890625
64,0.1,relu,64,2,0,5,0,,1607.1588134765625
64,0.1,linear,128,2,0,5,0,,1800.2965087890625
64,0.1,linear,32,2,0,5,0,,3381.154296875
64,0.1,relu,128,2,0,5,0,,9130.4091796875
64,0.1,linear,512,2,0,5,0,,9237.7373046875
8,0.1,linear,8,2,0,5,0,,30323.3125
128,0.1,linear,16,2,0,5,0,,32405.271484375
128,0.1,relu,32,4,0,4,0,,43884.375
128,0.1,relu,64,2,0,5,0,,80781.5234375
128,0.1,relu,16,2,0,5,0,,84373.03125
64,0.1,relu,512,2,0,5,0,,107884.15625
128,0.1,linear,64,2,0,5,0,,331093.96875
64,0.1,relu,256,2,0,5,0,,669339.5
128,0.1,linear,32,2,0,5,0,,780296.0
128,0.1,linear,128,2,0,5,0,,1003257.375
128,0.1,relu,128,2,0,5,0,,1459429.25
128,0.1,relu,256,2,0,5,0,,2623521.0
16,0.1,relu,8,4,2,5,1,0004,9326524.0
128,0.1,relu,512,2,0,5,0,,34334868.0
128,0.1,linear,256,2,0,5,0,,46395924.0
128,0.1,linear,512,2,0,5,0,,120388832.0
