date,avg gain (m3/d),computed inflow (m3/d),unregulated flow (m3/d),elevation (m),discharge (m3/d),total avg discharge (m3/d),spillway discharge (m3/d),storage (m3)
1990-10-11,,220876.4768256,1508800.656384,900.924792,946823.17824,,,70726719.4116
1990-10-12,,73495.0084608,1664989.7822208,900.7998240000001,861193.17504,,,69989283.3936
1990-10-13,,141093.7795584,1530477.2800512,900.6992400000001,711952.31232,,,69397583.03760001
1990-10-14,,137399.4565632,1555187.6524031998,900.598656,707059.16928,,,68803391.052
1990-10-15,,178134.8723712,1322812.2894336,900.5316,572497.73568,,,68412501.24
1990-10-16,,187798.8298752,2088956.1609216002,900.479784,469741.73184,,,68111371.7676
1990-10-17,,103734.63244799999,1654958.8389888,900.42492,374325.44256,,,67789976.2188
1990-10-18,,111710.4556032,1434865.2650496,900.3822480000001,315607.72608,,,67538074.9332
1990-10-19,,-93777.0863616,1431684.7220736,900.303,322947.44064,,,67079208.0384
1990-10-20,,168666.6405888,1545523.6948992,900.269472,327840.58368,,,66884268.8592
1990-10-21,,97055.4921984,1519663.4339327998,900.223752,364539.15648,,,66617652.1572
1990-10-22,,223959.15694080002,1839210.14016,900.199368,376772.01408,,,66477183.4548
1990-10-23,,182685.4953984,1715780.606976,900.1719360000001,369432.29952,,,66319507.7064
1990-10-24,,152029.9542528,1688183.2802304,900.13536,369432.29952,,,66104499.80760001
1990-10-25,,138231.29088,1623275.7378048,900.0957360000001,371878.87104,,,65875158.8712
1990-10-26,,110756.29271040001,1539187.0746624,900.050016,371878.87104,,,65609849.658
