Date,dS (m3),GranD_ID
2022-01-01,24144.711688437477,323
2022-01-15,32858.902449668974,323
2022-02-01,28429.532231032423,323
2022-02-15,144875.67655527155,323
2022-03-01,18900.594932418524,323
2022-03-15,124130.8667949161,323
2022-04-01,121886.64835054701,323
2022-04-15,8274.71996656565,323
2022-05-01,-127235.63304090667,323
2022-05-15,78066.20006328865,323
2022-06-01,-47117.612451501525,323
2022-06-15,-55846.14867116241,323
2022-07-01,15965.213041962494,323
2022-07-15,-46769.470463099424,323
2022-08-01,-22169.583455917727,323
2022-08-15,61624.69255371869,323
2022-09-01,8003.235669307201,323
2022-09-15,12289.04145012362,323
2022-10-01,-22304.421681824322,323
2022-10-15,77149.92847230226,323
2022-11-01,-46784.95203855019,323
2022-11-15,43967.459056224776,323
2022-12-01,57675.2754761625,323
2022-12-15,-179675.15982671356,323
2023-01-01,-126748.80179066228,323
2023-01-15,180123.30432665523,323
2023-02-01,70063.38734506723,323
2023-02-15,-489683.6701107,323
2023-03-01,131597.05312787247,323
2023-03-15,10744.691126534646,323
2023-04-01,16554.23277372805,323
2023-04-15,7651.067884948231,323
2019-05-01,-148273.52228934993,92
2019-05-15,-1215807.647211425,92
2019-06-01,828523.6943062498,92
2019-06-15,-448325.244667725,92
2019-07-01,-1131445.269767025,92
2019-07-15,-2195888.945858467,92
2019-08-01,-633838.6801250166,92
2019-08-15,-31435.909994388792,92
2019-09-01,-193046.60658549998,92
2019-09-15,-111275.08411686565,92
2019-10-01,-142839.325353,92
2019-10-15,-99507.36409239512,92
2019-11-01,-67627.81828189616,92
2019-11-15,-1809435.044784324,92
2019-12-01,1450243.2173002532,92
2019-12-15,19795.021811115563,92
2020-01-01,45023.276005637534,92
2020-01-15,11528.87838763783,92
2020-02-01,31868.162876832816,92
2020-02-15,97236.55635633356,92
2020-03-01,139849.2210456906,92
2020-03-15,127575.28902312314,92
2020-04-01,189272.91660914576,92
2020-04-15,564506.000507709,92
2020-05-01,-499923.4788334749,92
2020-05-15,4014129.0080703003,92
2020-06-01,-372434.4317178934,92
2020-06-15,90425.14617439976,92
2020-07-01,88278.79350864826,92
2020-07-15,50496.04669214003,92
2020-08-01,-1418736.7036001,92
2020-08-15,-1005824.8697073499,92
2020-09-01,-2533825.1752661667,92
2020-09-15,-364734.1012518,92
